"","Sociab.1","Compass.1","Organiz.1","Anxiety.1","Aesth.1","Assert.1","Respect.1","Product.1","Depres.1","Curious.1","Energy.1","Trust.1","Respons.1","Volat.1","Creativ.1","Sociab.2","Compass.2","Organiz.2","Anxiety.2","Aesth.2","Assert.2","Respect.2","Product.2","Depres.2","Curious.2","Energy.2","Trust.2","Respons.2","Volat.2","Creativ.2","Sociab.3","Compass.3","Organiz.3","Anxiety.3","Aesth.3","Assert.3","Respect.3","Product.3","Depres.3","Curious.3","Energy.3","Trust.3","Respons.3","Volat.3","Creativ.3","Sociab.4","Compass.4","Organiz.4","Anxiety.4","Aesth.4","Assert.4","Respect.4","Product.4","Depres.4","Curious.4","Energy.4","Trust.4","Respons.4","Volat.4","Creativ.4"
"1",5,1,3,1,4,4,2,1,2,2,4,5,3,5,2,3,4,5,1,3,2,2,3,2,2,2,3,1,2,4,2,3,3,4,2,4,5,4,4,3,3,3,2,4,5,4,2,2,3,1,2,3,3,1,3,1,2,4,1,2
"2",2,3,5,2,4,2,5,5,4,4,1,2,5,2,4,1,3,5,2,4,1,5,4,4,3,3,2,3,2,3,1,2,5,4,5,1,4,5,4,4,1,2,5,1,4,2,1,5,4,4,2,5,5,4,3,1,2,4,1,2
"3",3,5,5,1,5,4,5,5,1,5,5,3,5,1,3,3,2,4,1,5,3,5,5,2,5,5,2,5,1,2,2,4,5,1,4,1,5,5,1,5,3,2,5,1,5,3,5,5,2,4,5,5,5,2,5,4,3,5,1,4
"4",3,3,3,3,1,3,5,2,3,5,3,3,4,3,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,5,5,3,3,4,4,5,3,1,3,3,3,3,2,5,3,3,3,3,4,3,3,3,3,3,3,3
"5",3,4,3,3,2,4,4,2,2,4,2,4,4,4,4,2,2,4,4,3,4,2,1,2,3,2,4,3,2,2,2,3,5,4,4,1,3,4,4,4,4,3,4,2,2,4,1,1,2,2,2,4,4,2,2,4,3,2,3,4
"6",1,1,5,4,5,5,1,5,2,5,2,3,5,1,5,2,4,5,2,4,5,4,5,1,5,4,2,5,2,5,3,3,5,4,4,4,5,5,5,5,1,1,5,2,4,2,1,5,5,3,5,3,5,5,5,4,1,5,2,5
"7",4,4,3,1,2,5,3,3,1,5,2,2,4,5,4,2,3,4,3,4,3,2,1,2,1,1,4,1,1,1,1,4,4,3,5,2,2,5,4,5,3,2,4,3,2,5,2,2,1,3,2,4,4,4,2,3,5,1,3,3
"8",2,4,4,4,3,4,5,4,3,4,3,3,5,4,4,2,4,4,4,3,4,4,3,4,3,2,4,4,3,4,2,4,4,5,4,2,4,5,5,5,2,2,4,4,2,2,2,5,5,4,4,5,4,5,3,3,4,3,4,4
"9",1,2,5,4,1,5,5,5,4,4,4,1,5,1,2,1,2,5,5,2,4,4,4,1,4,2,1,5,1,2,1,5,5,5,2,2,2,5,1,4,2,1,5,1,2,1,1,5,4,3,4,5,5,1,2,4,1,4,2,2
"10",3,4,2,3,5,4,1,4,2,5,3,2,4,3,4,5,2,4,1,2,4,3,3,1,2,1,4,4,3,2,2,5,1,4,5,3,1,4,2,4,5,2,2,2,1,3,1,1,1,1,4,4,1,1,1,5,4,2,1,5
